agent acc,demo acc,discriminator loss agent,discriminator loss demo,discriminator loss total,entropy loss,frac,kl,loss,max 100 episode reward,mean 100 episode reward,min 100 episode reward,num episodes,policy loss,reward signal mean,value loss
0.8125,0.65625,0.54501903,0.60717416,1.1521932,0.46666145,0.15625,-0.00040539508,13.582841,200,189.54,120,4035,0.13282827,0.4243949,26.909357
1.0,0.65625,0.34162495,0.48422128,0.8258462,0.44025657,0.03125,0.00030022266,37.90835,200,187.48,118,4102,0.0795922,0.2846472,75.66632
0.5625,0.53125,0.579472,0.71068466,1.2901566,0.5476346,0.0,-0.00030592538,1.7443235,200,192.5,116,4168,-0.05087083,0.41145903,3.6013412
0.8125,0.53125,0.52081054,0.7394929,1.2603035,0.4632336,0.0,-0.0002990677,2.1632137,200,195.55,116,4232,0.03377973,0.3883153,4.2681327
0.59375,0.28125,0.55750036,0.7735953,1.3310957,0.5080228,0.0,0.00050101476,0.30797932,200,182.02,25,4305,-0.3047386,0.4220295,1.2355963
0.71875,0.875,0.52545685,0.56918097,1.0946379,0.48009607,0.03125,-0.00082971656,3.2553124,200,194.93,117,4370,-0.011150554,0.3675732,6.542528
0.78125,0.59375,0.4503289,0.6885588,1.1388876,0.48315126,0.0625,-0.0005274019,1.176588,200,194.51,127,4436,-0.09341562,0.3382416,2.5496705
0.84375,0.65625,0.6096178,0.5792,1.1888179,0.522809,0.0,-3.316393e-05,0.45362812,200,194.64,144,4501,0.054358944,0.44872853,0.8089946
0.5625,0.5625,0.74719745,0.62983876,1.3770362,0.5458985,0.0,-0.00042948488,3.2324252,200,197.05,122,4566,-0.1586183,0.50228333,6.793005
0.8125,0.34375,0.528368,0.94475615,1.4731241,0.5270377,0.25,-0.00070659886,0.13110657,200,196.91,122,4631,0.018568665,0.4038525,0.23561655
0.25,0.78125,0.7008297,0.5803672,1.2811968,0.5334265,0.0,0.00010755262,10.735358,200,189.42,117,4700,0.031809032,0.48539168,21.417767
0.84375,0.5,0.41670176,0.7578406,1.1745423,0.5344981,0.0,-8.0968486e-05,0.8335612,200,194.32,117,4765,0.12507018,0.32993782,1.4276719
0.96875,0.78125,0.2730446,0.43099806,0.7040427,0.47368264,0.25,-0.00079430337,14.640992,200,190.21,115,4833,-0.088120215,0.2444472,29.4677
